Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,operator-framework,https://github.com/operator-framework/operator-sdk,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,f,f,t,,t,f,t,t,t,f,t,t,f,
cncf,oras,https://github.com/oras-project/oras,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,f,f,t,,t,t,t,t,t,f,t,t,f,
cncf,oras,https://github.com/oras-project/community,{community},f,t,,t,f,t,,t,t,f,f,,,"Not detected",,,,f,,f,,,,t,,,,,,,t,,,f
cncf,osm,https://github.com/openservicemesh/osm,"{community,code}",f,f,t,t,t,f,t,t,t,f,t,t,f,Apache-2.0,GA3,f,f,t,t,t,f,f,t,t,t,t,t,t,f,f,t,f,f,t
cncf,paralus,https://github.com/paralus/paralus,"{community,code}",f,f,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,GA4,f,f,f,t,f,t,f,t,f,t,t,t,t,t,f,f,f,f,t
cncf,parsec,https://github.com/parallaxsecond/parsec,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,t,f,t,,t,t,t,f,t,f,t,f,f,
cncf,parsec,https://github.com/parallaxsecond/community,{community},f,f,,f,f,f,,t,t,f,f,,,"Not detected",,,,t,,f,,,,t,,,,,,,f,,,f
cncf,pipecd,https://github.com/pipe-cd/pipecd,"{community,code}",t,f,t,t,t,f,t,t,f,f,t,t,f,Apache-2.0,GA4,f,f,f,t,t,f,f,t,f,t,t,t,t,t,f,f,f,f,t
cncf,piraeus,https://github.com/piraeusdatastore/piraeus,"{community,code}",f,f,f,t,t,t,t,t,f,f,f,t,f,Apache-2.0,,f,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f
cncf,pixie,https://github.com/pixie-io/pixie,"{community,code}",t,t,t,t,t,t,t,t,t,t,t,t,t,Apache-2.0,HubSpot,t,f,t,t,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t
