URL,Date,Security Score,Project,Foundation,Maturity,CheckSets,Slam22 Participant,SBOM,Maintained,Code Review,Security Policy,Signed Releases,Binary Artifacts,Token Permissions,Dangerous Workflow,Dependency Update Tool
https://github.com/argoproj/argo-cd,2023-01,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-01,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-workflows,2022-12,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-rollouts,2022-12,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2022-12,85.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,1
https://github.com/argoproj/argo-cd,2022-12,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2022-12,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-workflows,2022-11,100.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-rollouts,2022-11,90.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,0,1,1,1,1
https://github.com/argoproj/argo-events,2022-11,75.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),0,1,1,1,0,1,0,1,1
https://github.com/argoproj/argo-cd,2022-11,100.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2022-11,90.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-rollouts,2022-10,90.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,0,1,1,1,1
https://github.com/argoproj/argo-events,2022-10,75.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),0,1,1,1,0,1,0,1,1
https://github.com/argoproj/argo-workflows,2022-10,90.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,0,1,1,1,1
https://github.com/argoproj/argo-cd,2022-10,100.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2022-10,90.000000,argo,cncf,incubating,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/G-Research/armada,2023-08,5.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),1,0,0,0,0,0,0,0,0
https://github.com/G-Research/armada,2023-07,65.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),1,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2023-06,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2023-05,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
